Folder,Analysis Result
summer_mute,"(array([22, 17, 16]), array([179, 159, 140]), array([202, 125, 114]), array([230, 204, 181]))"
summer_mute,"(array([36, 24, 17]), array([29, 20, 11]), array([156,  94,  90]), array([202, 181, 161]))"
summer_mute,"(array([19, 17, 16]), array([24, 19, 13]), array([123,  77,  80]), array([179, 153, 141]))"
summer_mute,"(array([52, 25, 20]), array([114,  92,  83]), array([117,  75,  77]), array([143, 117, 107]))"
summer_mute,"(array([31, 20, 24]), array([92, 83, 79]), array([82, 22, 29]), array([163, 168, 146]))"
summer_mute,"(array([29, 14, 13]), array([159, 153, 133]), array([192, 116, 113]), array([227, 206, 179]))"
summer_mute,"(array([12, 11, 17]), array([71, 58, 60]), array([185,  92, 104]), array([190, 142, 130]))"
summer_mute,"(array([62, 38, 30]), array([82, 65, 61]), array([206, 112, 114]), array([217, 181, 158]))"
summer_mute,"(array([14,  7,  8]), array([127,  99,  85]), array([225, 141, 139]), array([243, 215, 185]))"
summer_mute,"(array([28, 26, 26]), array([67, 77, 69]), array([185, 188, 164]), array([197, 253, 202]))"
summer_mute,"(array([54, 22, 17]), array([116,  66,  48]), array([255, 146, 113]), array([254, 204, 137]))"
summer_mute,"(array([33, 23, 26]), array([82, 74, 75]), array([166, 110, 112]), array([199, 187, 185]))"
summer_mute,"(array([65, 42, 31]), array([23, 18, 15]), array([219, 172, 140]), array([225, 227, 161]))"
summer_mute,"(array([61, 31, 27]), array([16,  8,  4]), array([183,  99, 100]), array([234, 195, 174]))"
summer_mute,"(array([65, 48, 44]), array([151, 133, 124]), array([180, 120, 122]), array([209, 190, 173]))"
summer_mute,"(array([65, 44, 42]), array([49, 46, 49]), array([191, 117, 118]), array([219, 183, 172]))"
spring_light,"(array([173, 146, 133]), array([53, 45, 48]), array([192, 142, 135]), array([199, 176, 156]))"
spring_light,"(array([50, 37, 19]), array([73, 59, 29]), array([190, 169, 138]), array([212, 254, 191]))"
spring_light,"(array([37, 24, 21]), array([123, 121, 128]), array([158,  93, 109]), array([180, 168, 180]))"
spring_light,"(array([28, 16, 22]), array([22, 10, 11]), array([133,  88, 104]), array([23, 13, 14]))"
spring_light,"(array([82, 56, 51]), array([55, 45, 48]), array([193, 107,  97]), array([212, 155, 127]))"
spring_light,"(array([46, 31, 32]), array([93, 78, 79]), array([217, 122, 120]), array([238, 188, 167]))"
spring_light,"(array([18, 15, 24]), array([88, 76, 84]), array([144,  76,  83]), array([164, 127, 123]))"
spring_light,"(array([42, 33, 31]), array([39, 36, 36]), array([189,  94,  98]), array([209, 172, 158]))"
spring_light,"(array([23, 18, 20]), array([73, 55, 49]), array([145,  68,  94]), array([196, 196, 236]))"
spring_light,"(array([38, 27, 31]), array([204, 160, 151]), array([226, 169, 173]), array([253, 199, 188]))"
spring_light,"(array([52, 28, 17]), array([57, 44, 37]), array([169, 108, 104]), array([195, 168, 153]))"
spring_light,"(array([52, 42, 42]), array([58, 42, 38]), array([210, 134, 133]), array([243, 200, 180]))"
spring_light,"(array([21,  8,  5]), array([28, 16, 11]), array([232, 169, 153]), array([236, 217, 175]))"
spring_light,"(array([57, 35, 36]), array([97, 74, 76]), array([198, 144, 150]), array([219, 196, 189]))"
spring_light,"(array([38, 29, 33]), array([ 9, 10, 13]), array([188, 115, 121]), array([200, 173, 163]))"
spring_light,"(array([54, 47, 53]), array([111,  99,  97]), array([178, 115, 121]), array([218, 198, 184]))"
spring_light,"(array([24, 19, 23]), array([93, 85, 85]), array([160,  99, 114]), array([182, 166, 163]))"
spring_light,"(array([42, 33, 34]), array([55, 36, 40]), array([216, 153, 148]), array([227, 197, 184]))"
spring_light,"(array([72, 63, 55]), array([146, 135, 124]), array([199, 128, 120]), array([221, 214, 201]))"
spring_light,"(array([5, 1, 2]), array([28, 17, 15]), array([179, 101,  87]), array([178, 153, 141]))"
spring_light,"(array([32, 15,  8]), array([56, 32, 18]), array([206, 125, 111]), array([212, 203, 172]))"
spring_light,"(array([37, 31, 32]), array([130, 112,  88]), array([211, 132, 115]), array([218, 209, 167]))"
spring_light,"(array([41, 33, 34]), array([74, 63, 60]), array([242, 145, 144]), array([241, 217, 191]))"
spring_light,"(array([50, 38, 36]), array([48, 36, 30]), array([199, 116, 106]), array([186, 153, 125]))"
spring_light,"(array([42, 33, 31]), array([144, 103,  78]), array([169,  87,  79]), array([192, 145, 115]))"
spring_light,"(array([30, 25, 28]), array([13, 19, 27]), array([212,  91,  98]), array([229, 201, 178]))"
spring_light,"(array([26, 27, 34]), array([35, 36, 43]), array([121,  71,  87]), array([162, 170, 178]))"
spring_light,"(array([13,  7,  2]), array([109,  74,  57]), array([154,  91,  75]), array([175, 140, 121]))"
spring_light,"(array([70, 63, 64]), array([104, 100, 101]), array([153,  88, 116]), array([188, 177, 179]))"
spring_light,"(array([67, 44, 34]), array([136, 100,  84]), array([203, 107, 103]), array([207, 180, 173]))"
spring_light,"(array([36, 29, 31]), array([212, 193, 187]), array([246, 159, 174]), array([242, 226, 220]))"
spring_light,"(array([49, 41, 35]), array([152, 154, 145]), array([178, 112, 128]), array([191, 200, 190]))"
spring_light,"(array([31,  5,  0]), array([98, 75, 67]), array([175, 107, 104]), array([192, 149, 124]))"
spring_light,"(array([24, 26, 31]), array([62, 65, 72]), array([125,  75,  83]), array([185, 176, 160]))"
spring_light,"(array([32, 14,  8]), array([196, 156, 138]), array([239, 118, 127]), array([237, 192, 167]))"
spring_light,"(array([39, 30, 28]), array([168, 136, 116]), array([174,  85,  85]), array([178, 145, 122]))"
spring_light,"(array([32, 24, 25]), array([103,  82,  77]), array([114,  77,  83]), array([188, 163, 163]))"
winter_dark,"(array([39, 23, 23]), array([175, 159, 135]), array([249, 162, 146]), array([252, 235, 194]))"
winter_dark,"(array([68, 38, 31]), array([163, 124, 116]), array([233, 157, 158]), array([235, 189, 177]))"
winter_dark,"(array([39, 32, 37]), array([241, 255, 176]), array([237, 227, 156]), array([243, 254, 177]))"
winter_dark,"(array([40, 29, 23]), array([94, 60, 51]), array([174,  78,  96]), array([204, 180, 161]))"
winter_dark,"(array([65, 43, 35]), array([110,  83,  72]), array([195, 141, 136]), array([200, 176, 161]))"
winter_dark,"(array([40, 37, 42]), array([125, 112, 117]), array([174, 104, 135]), array([198, 201, 221]))"
winter_dark,"(array([74, 29, 10]), array([141, 104,  88]), array([201, 112, 106]), array([233, 194, 171]))"
winter_dark,"(array([62, 41, 26]), array([118,  89,  71]), array([178, 108, 100]), array([186, 140, 121]))"
winter_dark,"(array([31, 26, 24]), array([118, 103,  93]), array([190,  77, 102]), array([214, 204, 190]))"
